cluster,token_stem,count_per_doc,count_of_docs,tfidf
1,minimum,4,3,0.02252131137088604
1,minut,2,1,0.035478498602726505
1,mission,2,2,0.02019874093889257
1,mitig,1,3,0.00563032784272151
1,mo,2,2,0.02019874093889257
1,mobil,1,2,0.010099370469446286
1,model,2,2,0.02019874093889257
1,monitor,6,4,0.014756949825175902
1,month,2,2,0.02019874093889257
1,move,1,3,0.00563032784272151
1,mt,2,1,0.035478498602726505
1,much,2,1,0.035478498602726505
1,multin,2,1,0.035478498602726505
1,multipl,2,3,0.01126065568544302
1,municip,1,2,0.010099370469446286
1,must,5,3,0.028151639213607547
1,mutual,2,1,0.035478498602726505
1,name,5,3,0.028151639213607547
1,nation,5,3,0.028151639213607547
1,natur,4,4,0.009837966550117268
1,nearest,1,3,0.00563032784272151
1,necessari,4,2,0.04039748187778514
1,need,7,5,0.0
1,negoti,1,2,0.010099370469446286
1,neither,1,2,0.010099370469446286
1,network,1,2,0.010099370469446286
1,never,1,2,0.010099370469446286
1,new,8,4,0.019675933100234536
1,ngo,1,3,0.00563032784272151
1,nomin,1,2,0.010099370469446286
1,non,4,3,0.02252131137088604
1,north,2,2,0.02019874093889257
1,note,2,2,0.02019874093889257
1,notifi,1,2,0.010099370469446286
1,now,3,2,0.030298111408338855
1,number,6,4,0.014756949825175902
1,numer,2,1,0.035478498602726505
1,nyse,3,1,0.05321774790408976
1,obei,1,2,0.010099370469446286
1,object,5,3,0.028151639213607547
1,oblig,2,3,0.01126065568544302
1,observ,2,2,0.02019874093889257
1,obtain,2,3,0.01126065568544302
1,occup,3,2,0.030298111408338855
1,occur,4,2,0.04039748187778514
1,offer,9,3,0.05067295058449359
1,offic,7,4,0.01721644146270522
1,offici,1,3,0.00563032784272151
1,oh,1,3,0.00563032784272151
1,on,9,3,0.05067295058449359
1,ongo,2,4,0.004918983275058634
1,onlin,1,2,0.010099370469446286
1,open,4,2,0.04039748187778514
1,oper,15,4,0.036892374562939756
1,opportun,5,3,0.028151639213607547
1,option,2,3,0.01126065568544302
1,order,10,5,0.0
1,organ,10,4,0.024594916375293166
1,orient,1,3,0.00563032784272151
1,origin,1,3,0.00563032784272151
1,other,3,2,0.030298111408338855
1,otherwis,1,3,0.00563032784272151
1,outcom,4,2,0.04039748187778514
1,outdoor,2,1,0.035478498602726505
1,outlin,4,2,0.04039748187778514
1,outsid,3,2,0.030298111408338855
1,overal,2,2,0.02019874093889257
1,overse,1,3,0.00563032784272151
1,own,3,2,0.030298111408338855
1,owner,2,1,0.035478498602726505
1,ownership,1,2,0.010099370469446286
1,pa,1,2,0.010099370469446286
